date,rbob_usd_gal,usd_cad,wholesale_cad_l,retail_model,retail_survey,retail_actual,margin
2025-06-02,,,,,1.3330,,
2025-06-09,,,,,1.3385,,
2025-06-16,,,,,1.3840,,
2025-06-23,,,,,1.4315,,
2025-06-30,,,,,1.3300,,
2025-07-07,,,,,1.3435,,
2025-07-14,,,,,1.3710,,
2025-07-21,,,,,1.3625,,
2025-07-28,2.1352,1.3722,0.7686,,1.3360,,
2025-08-05,2.0915,1.3795,0.7705,,1.3750,,
2025-08-11,2.0766,1.3784,0.7573,,1.3490,,
2025-08-18,2.0987,1.3791,0.7614,,1.3395,,
2025-08-25,2.1483,1.3825,0.7860,,1.3790,,
2025-09-02,2.0428,1.3787,0.7685,,1.4000,,
2025-09-08,1.9586,1.3805,0.7217,,1.4245,,
2025-09-15,2.0134,1.3821,0.7311,,1.4255,,
2025-09-22,1.9782,1.3812,0.7243,,1.3285,,
2025-09-29,1.9951,1.3932,0.7384,,1.3590,,
2025-10-06,1.9016,1.3961,0.6966,,1.3225,,
2025-10-14,1.8286,1.4065,0.6817,,1.3075,,
2025-10-20,1.8302,1.4044,0.6790,,1.3095,,
2025-10-27,1.9204,1.3983,0.7074,,1.3400,,
2025-11-03,1.9161,1.4044,0.7225,,1.3505,,
2025-11-10,1.9711,1.4012,0.7265,,1.3815,,
2025-11-17,1.9901,1.4034,0.7370,,1.4100,,
2025-11-24,1.8966,1.4102,0.7085,,1.3540,,
2025-12-01,1.8689,1.3961,0.6955,,1.3190,,
2025-12-08,1.7981,1.3805,0.6659,,1.2860,,
2025-12-15,1.7323,1.3757,0.6362,,1.2420,,
2025-12-22,1.7422,1.3766,0.6274,,1.2265,,
2025-12-29,1.7152,1.3689,0.6211,,1.2330,,
2026-01-05,1.7200,1.3792,0.6222,,1.2315,,
2026-01-12,1.7938,1.3872,0.6499,,1.2730,,
2026-01-19,1.7852,1.3889,0.6577,,1.2725,,
2026-01-26,1.8201,1.3712,0.6645,,1.2910,,
2026-02-02,1.8514,1.3646,0.6754,,1.3090,,
2026-02-09,1.9855,1.3608,0.7070,,1.3245,,
2026-02-17,1.9144,1.3656,0.6915,,1.3105,,
2026-02-23,1.9892,1.3690,0.7187,,1.3390,,
2026-03-02,2.3706,1.3670,0.7972,,1.3655,,
2026-03-09,2.8084,1.3570,0.9805,,1.5725,,
2026-03-16,3.0003,1.3681,1.0733,,1.6895,,
2026-03-23,2.9749,1.3708,1.1171,,1.7785,,
2026-03-30,3.3515,1.3921,1.1962,,1.7685,,
2026-04-06,3.3082,1.3909,1.2026,,1.8670,,
2026-04-13,3.1160,1.3845,1.1286,,1.7385,,
2026-04-20,3.1168,1.3695,1.1182,,1.6380,,
2026-04-27,3.4910,1.3600,1.2431,,1.7715,,
2026-05-04,3.7382,1.3615,1.3305,,1.8735,,
2026-05-11,3.5998,1.3667,1.2834,,1.8725,,
2026-05-19,3.6962,1.3756,1.3446,,1.9240,,
2026-05-25,3.4539,1.3801,1.2635,,1.8300,,
2026-06-01,3.0847,1.3830,1.1421,,1.6860,,
2026-06-08,3.0706,1.3937,1.1272,,1.7110,,
2026-06-15,2.9472,1.3981,1.1106,,1.6495,,
2026-06-22,2.9870,1.4161,1.1088,,1.6155,,
2026-06-29,3.0614,1.4204,1.1307,,1.5845,,
2026-07-06,3.0033,1.4223,1.1179,,1.6340,,
2026-07-13,3.1663,1.4135,1.1546,,1.6510,,
2026-07-20,3.3890,1.4031,1.2448,,1.7925,,
2026-07-24,3.2725,1.4086,1.2503,1.8190,,1.819,0.1553
2026-07-25,3.3959,1.4086,1.2733,1.8250,,,0.1553
2026-07-26,3.2516,1.4086,1.2465,1.7990,,1.799,0.1555
2026-07-27,3.1693,1.4105,1.2280,1.7955,1.7955,,0.1591
2026-07-28,3.1838,1.4108,1.2221,1.7855,,,0.1591
2026-07-29,3.2195,1.4105,1.2249,1.7828,,,0.1591
2026-07-30,3.1253,1.4046,1.2062,1.7623,,,0.1591
2026-07-31,3.1713,1.4041,1.2059,1.7595,,,0.1591
2026-08-01,3.2216,1.4041,1.2152,1.7686,,,0.1591
2026-08-02,3.1142,1.4041,1.1953,1.7460,,,0.1591
2026-08-03,2.9589,1.4028,1.1553,1.7007,1.7050,,0.1591
2026-08-04,2.8395,1.4061,1.1072,1.6462,,,0.1591
2026-08-05,2.8292,1.4047,1.0791,1.6373,,,0.1599
2026-08-06,2.7051,1.3998,1.0386,1.5861,,,0.1599
2026-08-07,2.7130,1.4010,1.0434,1.5826,,,0.1599
2026-08-08,2.9853,1.4010,1.0938,1.6337,,,0.1599
2026-08-09,2.9853,1.4010,1.0938,1.6326,,,0.1599
2026-08-10,2.8680,1.3940,1.0723,1.6230,1.6230,,0.1599
2026-08-11,2.8915,1.3938,1.0929,1.6267,,,0.1599
2026-08-12,2.8762,1.3926,1.0975,1.6325,,,0.1599
2026-08-13,2.8529,1.3949,1.1007,1.6372,,,0.1599
