date,station_id,price,source
2026-07-27,esso-bayview-9999,1.799,gasbuddy-seed
2026-07-27,esso-beaver-creek,1.709,gasbuddy-seed
2026-07-27,esso-elgin-mills-2801,1.799,gasbuddy-seed
2026-07-27,esso-woodbine-7001,1.779,gasbuddy-seed
2026-07-27,esso-yonge-10579,1.779,gasbuddy-seed
2026-07-27,esso-yonge-12891,1.799,gasbuddy-seed
2026-07-27,petrocan-bayview-9277,1.779,gasbuddy-seed
2026-07-27,petrocan-hwy7-4641,1.749,gasbuddy-seed
2026-07-27,petrocan-major-mac-695,1.799,gasbuddy-seed
2026-07-27,pioneer-major-mac-6375,1.769,gasbuddy-seed
2026-07-27,shell-hwy7-408,1.719,gasbuddy-seed
2026-07-27,shell-hwy7-5706,1.729,gasbuddy-seed
2026-07-27,shell-leslie-9240,1.739,gasbuddy-seed
2026-07-27,shell-yonge-11151,1.799,gasbuddy-seed
2026-07-27,shell-yonge-8656,1.779,gasbuddy-seed
2026-07-28,esso-16th-ave-3010,1.689,gasbuddy
2026-07-28,esso-beaver-creek,1.699,endpoint-test
2026-07-28,esso-elgin-mills-1485,1.799,gasbuddy
