# Stations to track. Edit freely — ids are the only thing that must stay stable,
# because station_prices.csv references them.
#
# role:
#   home       your home station — the one savings are measured against, and
#              the one the panel labels HOME. At most one. If none is set the
#              baseline falls back to the cheapest `regular`.
#   regular    a station you'd default to. Baseline fallback when no home is set.
#   favourite  one you actively like / would detour for.
#   tracked    watched for history and prediction only.
#
# label is what fits the device header — keep it under 18 characters.
#
# lat/lon are WGS84 decimal degrees and OPTIONAL. Nothing in the price model
# reads them — they are here so a phone can sort this list by how far away you
# are and offer the right station first. Blank is fine and stays fine; fill
# them in with `python3 backend/geocode_stations.py`.
id,brand,address,city,role,label,lat,lon
esso-beaver-creek,Esso,255 E Beaver Creek Rd,Richmond Hill,favourite,ESSO BEAVERCRK,43.84559,-79.37829
shell-leslie-9240,Shell,9240 Leslie St,Richmond Hill,favourite,SHELL LESLIE,43.86215,-79.38709
esso-16th-ave-3010,Esso,3010 16th Ave,Markham,favourite,ESSO 16TH AVE,43.86839,-79.36225
esso-bayview-9999,Esso,9999 Bayview Ave,Richmond Hill,regular,ESSO BAYVIEW,43.87581,-79.41512
esso-elgin-mills-1485,Esso,1485 Elgin Mills Rd E,Richmond Hill,home,ESSO ELGINMILLS,43.89822,-79.39645
shell-hwy7-408,Shell,408 Hwy 7 E,Richmond Hill,tracked,SHELL HWY7,,
esso-yonge-10579,Esso,10579 Yonge St,Richmond Hill,tracked,ESSO YONGE 105,43.88545,-79.44035
petrocan-bayview-9277,Petro-Canada,9277 Bayview Ave,Richmond Hill,tracked,PETROCAN BAYVW,43.85762,-79.41080
shell-yonge-8656,Shell,8656 Yonge St,Richmond Hill,tracked,SHELL YONGE 86,43.83851,-79.42986
petrocan-major-mac-695,Petro-Canada,695 Major Mackenzie Dr E,Richmond Hill,tracked,PETROCAN MAJMAC,43.87574,-79.41629
esso-yonge-12891,Esso,12891 Yonge St,Richmond Hill,tracked,ESSO YONGE 128,43.94194,-79.45388
shell-yonge-11151,Shell,11151 Yonge St,Richmond Hill,tracked,SHELL YONGE 111,43.89925,-79.44353
shell-hwy7-5706,Shell,5706 Hwy 7 E,Markham,tracked,SHELL HWY7 MKM,,
petrocan-hwy7-4641,Petro-Canada,4641 Hwy 7 E,Markham,tracked,PETROCAN HWY7,,
pioneer-major-mac-6375,Pioneer,6375 Major Mackenzie Dr E,Markham,tracked,PIONEER MAJMAC,43.91200,-79.25683
esso-woodbine-7001,Esso,7001 Woodbine Ave,Markham,tracked,ESSO WOODBINE,43.81472,-79.34831
esso-elgin-mills-2801,Esso,2801 Elgin Mills Rd E,Markham,tracked,ESSO ELGIN MKM,43.90132,-79.38426
esso-bayview-major-mackenzie-10016,Esso,10016 Bayview Ave & Major Mackenzie Dr E,Richmond Hill,tracked,ESSO BAYVW MAJMAC,,
major-mackenzie-2881,,2881 Major Mackenzie Dr,Richmond Hill,tracked,MAJMAC 2881,43.88278,-79.38211
